"ds","y"
"2022-01-01",8.33447155460094
"2022-01-02",8.53601494565683
"2022-01-03",8.70863965598719
"2022-01-04",8.73004395324502
"2022-01-05",8.37562962709445
"2022-01-06",8.31898612539206
"2022-01-07",8.46442512587758
"2022-01-08",8.5972974356579
"2022-01-09",8.92279162396964
"2022-01-10",9.49167735686812
"2022-01-11",9.21014035197352
"2022-01-12",8.67795057029435
"2022-01-13",8.60226936377136
"2022-01-14",8.61450137388324
"2022-01-15",8.65886634973238
"2022-01-16",8.77940359789435
"2022-01-17",11.0079327963967
"2022-01-18",9.75324588920559
"2022-01-19",9.22513045744882
"2022-01-20",9.0177260256968
"2022-01-21",8.93695560422523
"2022-01-22",9.00932517273497
"2022-01-25",11.4840629202851
"2022-01-26",10.2642341958449
"2022-01-27",9.69443180053954
"2022-01-28",9.44041981429151
"2022-01-29",9.35374783527091
"2022-01-30",9.22847494217167
"2022-01-31",9.30392178559771
"2022-02-01",10.2401740519157
"2022-02-02",9.91595945403145
"2022-02-03",10.1115174660403
"2022-02-04",9.85859478364539
"2022-02-05",10.1190020766858
"2022-02-06",10.0005688901867
"2022-02-07",11.1914521795828
"2022-02-09",10.4633318857817
"2022-02-10",9.65406419220144
"2022-02-11",9.11975899374495
"2022-02-12",8.79573360595074
"2022-02-13",8.44848599340645
"2022-02-14",8.2666784433059
"2022-02-15",8.21851757748959
"2022-02-16",8.24249315318763
"2022-02-17",8.00803284696931
"2022-02-18",8.0452677166078
"2022-02-19",7.9287663216267
"2022-02-20",7.74500280351584
"2022-02-21",7.86633892304654
"2022-02-22",7.94165125293056
"2022-02-24",8.31041499418829
"2022-02-25",7.82803803212583
"2022-02-26",7.87359778968554
"2022-02-27",7.75705114203201
"2022-02-28",7.72621265050753
"2022-03-01",7.77527584648686
"2022-03-02",7.79523492900217
"2022-03-03",7.74975340627444
"2022-03-04",8.06808962627824
"2022-03-05",8.72583205652757
"2022-03-06",7.65444322647011
"2022-03-07",7.60339933974067
"2022-03-08",7.75319426988434
"2022-03-09",7.77022320415879
"2022-03-10",7.63143166457691
"2022-03-11",7.54380286750151
"2022-03-12",7.60439634879634
"2022-03-13",7.58426481838906
"2022-03-14",7.5109777520141
"2022-03-15",7.67461749736436
"2022-03-16",7.71289096149013
"2022-03-17",7.70165236264223
"2022-03-18",7.63819824428578
"2022-03-19",7.56268124672188
"2022-03-20",7.40367029001237
"2022-03-21",7.46622755621548
"2022-03-22",7.61233683716775
"2022-03-23",7.80180040190897
"2022-03-24",8.02878116248715
"2022-03-25",7.73017479524622
"2022-03-26",7.63964228785801
"2022-03-27",7.56320059235807
"2022-03-28",7.48661331313996
"2022-03-29",7.5076900778199
"2022-03-30",7.65396918047877
"2022-03-31",7.61283103040736
"2022-04-01",7.45414107814668
"2022-04-02",7.36707705988101
"2022-04-03",7.45298232946546
"2022-04-04",7.47873482556787
"2022-04-05",7.98514393119862
"2022-04-06",7.82164312623998
"2022-04-07",7.66058546170326
"2022-04-08",7.5595594960077
"2022-04-09",7.57660976697304
"2022-04-10",7.4500795698075
"2022-04-11",7.49886973397693
"2022-04-12",7.51588908521513
"2022-04-13",7.60837447438078
"2022-04-14",7.58629630715272
"2022-04-15",7.68063742756094
"2022-04-16",7.7848892956551
"2022-04-17",7.5522372875608
"2022-04-18",7.59890045687141
"2022-04-19",7.64826303090192
"2022-04-20",7.66996199547358
"2022-04-21",7.85554467791566
"2022-04-22",8.09651291750159
"2022-04-23",8.92105701815743
"2022-04-24",8.3986348552921
"2022-04-25",7.98820359702258
